state,hazard,annual_freq_trend,r_value,p_value
NORTH CAROLINA,wind,0.0157,0.341,0.0956
NORTH CAROLINA,winter,-0.0357,-0.382,0.0593
NORTH DAKOTA,wind,0.0103,0.194,0.354
NORTH DAKOTA,winter,0.0164,0.21,0.3129
OHIO,wind,0.0091,0.247,0.2336
OHIO,winter,0.0269,0.258,0.2123
OKLAHOMA,fire,0.0963,0.559,0.0084
OKLAHOMA,wind,-0.0037,-0.115,0.5854
OKLAHOMA,winter,-0.0392,-0.293,0.1552
OREGON,fire,0.0022,0.03,0.888
OREGON,wind,-0.0225,-0.419,0.0372
OREGON,winter,-0.018,-0.305,0.138
PENNSYLVANIA,fire,-0.0413,-0.48,0.0437
PENNSYLVANIA,wind,0.0337,0.705,0.0001
PENNSYLVANIA,winter,-0.0099,-0.145,0.4882
PUERTO RICO,fire,-0.0182,-0.194,0.592
PUERTO RICO,wind,0.0188,0.245,0.2374
RHODE ISLAND,wind,0.0431,0.444,0.0261
RHODE ISLAND,winter,-0.0122,-0.163,0.4371
SOUTH CAROLINA,fire,-0.012,-0.129,0.723
SOUTH CAROLINA,wind,0.0246,0.492,0.0126
SOUTH CAROLINA,winter,-0.0565,-0.423,0.0497
SOUTH DAKOTA,fire,-0.0059,-0.064,0.8211
SOUTH DAKOTA,wind,0.0294,0.645,0.0005
SOUTH DAKOTA,winter,0.0494,0.704,0.0001
TENNESSEE,wind,0.0009,0.03,0.887
TENNESSEE,winter,0.023,0.245,0.2385
TEXAS,fire,0.0659,0.381,0.08
TEXAS,wind,0.0124,0.453,0.023
TEXAS,winter,0.0114,0.102,0.6275
UTAH,fire,-0.0066,-0.067,0.7779
UTAH,wind,0.0702,0.869,0.0
UTAH,winter,-0.0139,-0.268,0.1944
VERMONT,wind,0.0195,0.293,0.1546
VERMONT,winter,-0.0137,-0.261,0.2072
VIRGIN ISLANDS,wind,-0.006,-0.08,0.8048
VIRGINIA,fire,-0.0101,-0.187,0.5825
VIRGINIA,wind,0.0319,0.597,0.0016
VIRGINIA,winter,-0.0063,-0.079,0.7062
WASHINGTON,fire,0.0543,0.561,0.0036
WASHINGTON,wind,-0.0069,-0.138,0.5114
WASHINGTON,winter,0.0452,0.626,0.0008
WEST VIRGINIA,wind,0.0344,0.626,0.0008
WEST VIRGINIA,winter,0.0273,0.397,0.0493
WISCONSIN,fire,-0.0087,-0.164,0.5918
WISCONSIN,wind,-0.0032,-0.068,0.7478
WISCONSIN,winter,0.0286,0.479,0.0155
WYOMING,fire,-0.0079,-0.074,0.7492
WYOMING,wind,0.1083,0.787,0.0
WYOMING,winter,0.0692,0.743,0.0
